student_id,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity,cluster
1,20,33,0.0011,1258.1432,0.2055,1865,18,305,2
2,2,5,0.0008,26.5243,0.0107,218,6,13,2
3,2,4,0.0008,30.6011,0.0086,191,6,11,2
4,2,14,0.001,72.5235,0.0803,965,13,37,2
5,16,17,0.0011,309.0327,0.1615,1508,18,154,2
6,9,24,0.0011,250.3765,0.155,1607,18,141,2
7,32,26,0.0011,1934.7201,0.2302,2088,21,588,2
8,13,18,0.0011,163.7079,0.1364,1483,18,131,2
9,2,12,0.001,69.5153,0.1193,1216,13,50,2
10,8,12,0.0011,716.3508,0.0875,1432,17,88,2
11,47,74,0.0011,1030.1257,0.5368,2694,31,1423,2
12,6,18,0.0009,113.9356,0.0792,896,18,71,2
13,20,15,0.0011,396.2737,0.0815,1420,18,241,2
14,5,20,0.0011,323.5016,0.0852,1583,18,204,2
15,13,18,0.0011,824.081,0.0918,1632,17,174,2
16,2,1,0.0008,2.4596,0.0085,130,3,5,2
17,2,22,0.0011,292.6257,0.0822,1573,17,221,2
18,0,19,0.001,125.1399,0.0682,1243,12,62,2
19,44,35,0.0011,3477.0829,0.3246,1940,26,364,2
20,1,2,0.0008,9.9781,0.0101,94,3,3,2
21,2,0,0.0008,0.7902,0.0037,78,2,3,2
22,8,15,0.0011,97.1916,0.1682,1431,17,90,2
23,6,0,0.0008,5.4497,0.0181,284,6,16,2
24,21,36,0.0011,1388.2905,0.2551,2092,21,553,2
25,6,6,0.001,215.017,0.0528,740,10,12,2
26,22,12,0.0011,853.1152,0.0891,1617,18,194,2
27,13,18,0.001,990.4338,0.111,1273,17,143,2
28,0,1,0.0007,0.0,0.0013,21,1,2,2
29,12,23,0.0011,1758.3222,0.091,1690,17,234,2
30,32,58,0.0011,1082.0392,0.4009,2224,28,624,2
31,0,1,0.0007,0.0,0.0014,36,1,2,2
32,11,4,0.001,348.1051,0.0254,775,10,31,2
33,17,6,0.001,263.0572,0.0553,1020,13,69,2
34,17,22,0.0011,568.8484,0.1368,1834,21,418,2
35,15,19,0.001,669.3602,0.1322,1280,18,112,2
36,26,21,0.0011,2369.6371,0.1555,1785,18,265,2
37,7,4,0.0008,56.0358,0.0159,314,9,23,2
38,7,2,0.001,52.4813,0.024,771,9,22,2
39,5,13,0.0011,318.4101,0.1124,1321,14,74,2
40,0,1,0.0006,0.0,0.001,36,1,2,2
41,29,6,0.0009,647.9906,0.0639,762,18,89,2
42,10,9,0.0008,115.9593,0.0481,418,12,23,2
43,1,7,0.0008,13.5339,0.0135,250,7,14,2
44,47,70,0.0011,3068.9225,0.4683,2608,31,1168,2
45,1,2,0.001,29.4645,0.0194,684,3,5,2
46,2,9,0.0009,130.254,0.0192,525,8,16,2
47,0,5,0.0009,15.5516,0.0166,481,5,11,2
48,2,4,0.001,51.7757,0.0187,651,6,8,2
49,19,23,0.0011,1250.7697,0.1485,1819,18,307,2
50,16,14,0.0011,484.3529,0.1,1598,18,160,2
51,6,13,0.001,32.6935,0.0674,1185,18,43,2
52,4,13,0.0009,88.1521,0.0427,728,14,64,2
53,19,16,0.0009,682.3112,0.0695,1323,18,336,2
54,14,28,0.0011,1345.3974,0.148,1744,18,255,2
55,0,4,0.0008,1.2299,0.0227,361,4,5,2
56,4,20,0.0009,222.3806,0.0976,790,14,75,2
57,7,4,0.001,305.8704,0.037,739,9,13,2
58,23,16,0.0011,524.5896,0.1247,1836,20,367,2
59,7,14,0.0011,971.3848,0.0582,1269,12,61,2
60,25,40,0.0011,2177.6429,0.2368,2109,24,526,2
61,29,24,0.0011,2184.5121,0.2242,1770,21,326,2
62,16,17,0.0011,133.2217,0.1255,1798,18,455,2
63,11,25,0.0011,109.5871,0.1553,1480,18,151,2
64,26,19,0.0011,1835.1877,0.1218,1623,18,288,2
65,1,2,0.001,0.0,0.0185,629,3,4,2
66,4,4,0.001,232.7577,0.0335,1066,7,28,2
67,21,9,0.0011,961.2136,0.0857,1645,15,207,2
68,21,40,0.0011,374.4624,0.3406,1942,28,383,2
69,4,6,0.001,522.1215,0.0348,1087,8,24,2
70,3,1,0.001,46.66,0.0179,651,4,7,2
71,1,12,0.001,25.1853,0.0991,962,9,16,2
72,3,3,0.001,40.355,0.0343,666,5,9,2
73,0,2,0.0007,7.8528,0.0017,41,2,3,2
74,6,10,0.0009,284.1546,0.025,614,10,29,2
75,3,7,0.001,198.3385,0.0483,1087,8,32,2
76,1,4,0.001,56.527,0.0195,677,5,12,2
77,3,8,0.001,58.8542,0.0416,1048,9,24,2
78,3,3,0.001,35.9312,0.0345,697,5,13,2
79,0,4,0.0007,11.194,0.0033,75,4,7,2
80,1,6,0.0008,61.6405,0.021,348,5,11,2
81,3,6,0.001,260.7956,0.0213,711,6,19,2
82,1,6,0.001,256.9924,0.0294,997,6,16,2
83,1,13,0.0011,153.0658,0.079,1187,11,37,2
84,5,0,0.0008,445.104,0.0048,81,4,6,2
85,1,6,0.001,274.5465,0.0293,1002,5,15,2
86,0,1,0.0006,0.0,0.0001,6,1,2,2
87,3,9,0.001,387.5102,0.0656,1209,10,33,2
88,16,14,0.0011,675.5726,0.1096,1415,18,157,2
89,0,1,0.0007,0.0,0.0016,31,1,2,2
90,1,3,0.001,77.9221,0.0192,630,4,6,2
91,7,11,0.001,353.9543,0.0476,1256,12,84,2
92,17,16,0.0011,972.085,0.08,1590,18,241,2
93,1,2,0.0007,3.9856,0.002,41,3,4,2
94,6,1,0.001,305.7538,0.0438,973,5,17,2
95,4,3,0.001,482.5073,0.018,617,5,13,2
96,0,12,0.001,50.6177,0.084,987,8,22,2
97,0,5,0.0008,179.7651,0.0128,372,4,8,2
98,16,12,0.001,98.0852,0.0885,1295,18,195,2
99,3,3,0.001,48.9651,0.0343,1097,6,15,2
100,22,7,0.0011,829.5885,0.0974,1511,14,176,2
101,9,3,0.001,286.7288,0.0335,1076,7,31,2
102,0,6,0.001,0.0,0.0555,1006,6,16,2
103,5,9,0.001,460.2066,0.0594,1048,10,34,2
104,6,15,0.0009,321.505,0.043,798,10,50,2
105,2,3,0.001,25.2618,0.0206,708,5,13,2
106,2,4,0.0008,10.8407,0.0164,289,6,11,2
107,4,15,0.001,241.37,0.0357,891,11,44,2
108,0,4,0.0008,2.1091,0.007,143,4,8,2
109,4,18,0.001,954.9946,0.0967,980,11,39,2
110,2,2,0.001,443.7348,0.0168,620,3,7,2
111,0,1,0.0007,0.0,0.0003,5,1,2,2
112,3,2,0.001,227.0754,0.0203,671,5,9,2
113,4,6,0.001,61.1675,0.0231,719,6,26,2
114,6,5,0.0009,29.9737,0.0357,642,9,37,2
115,20,6,0.001,1699.6077,0.0922,985,13,42,2
116,32,3,0.0011,2890.6619,0.0564,1416,14,125,2
117,5,1,0.0008,19.7901,0.0208,314,6,14,2
118,1,5,0.0008,24.1764,0.0048,94,5,7,2
119,5,2,0.0008,126.0135,0.006,144,6,11,2
120,1,2,0.001,440.0,0.0157,620,2,5,2
121,1,10,0.001,44.9145,0.0631,1161,9,38,2
122,2,1,0.0008,8.9998,0.0025,63,3,4,2
123,0,5,0.0008,482.6752,0.0044,100,3,6,2
124,0,2,0.001,0.0,0.0157,618,2,4,2
125,0,1,0.0007,0.0,0.0008,36,1,2,2
126,0,3,0.001,0.0,0.0307,619,3,4,2
127,0,2,0.001,0.0,0.0157,618,2,4,2
128,10,14,0.001,411.8044,0.0514,994,14,51,2
129,6,8,0.001,108.4983,0.0518,733,10,20,2
130,0,1,0.0007,0.0,0.0008,36,1,2,2
131,1,4,0.001,2.8975,0.0333,672,5,8,2
132,4,2,0.0008,87.1025,0.0083,164,5,8,2
133,2,7,0.001,7.7272,0.0448,731,7,10,2
134,0,2,0.001,52.1522,0.015,589,2,3,2
135,0,2,0.0007,3.8804,0.0006,17,2,3,2
136,12,13,0.001,458.4896,0.0875,1238,16,64,2
137,22,8,0.0011,978.1211,0.1057,1580,17,173,2
138,3,6,0.001,54.8777,0.0522,1004,8,18,2
139,0,4,0.001,11.2712,0.0179,641,4,7,2
140,0,3,0.0007,0.25,0.0016,48,3,6,2
141,2,3,0.001,171.2449,0.0315,640,4,10,2
142,5,9,0.001,170.2087,0.0686,1201,11,40,2
143,0,6,0.001,0.3495,0.0489,676,6,12,2
144,9,12,0.001,92.4113,0.0507,966,17,38,2
145,1,1,0.0007,10.2456,0.0009,28,2,3,2
146,1,2,0.001,24.3588,0.0256,923,3,6,2
147,1,12,0.001,377.3284,0.0391,1169,9,32,2
148,0,8,0.0009,13.7625,0.0188,478,8,20,2
149,0,1,0.0007,0.0,0.0004,5,1,2,2
150,2,2,0.001,490.3498,0.0298,588,2,4,2
151,1,1,0.0007,20.3882,0.0005,11,2,3,2
152,3,2,0.001,141.1773,0.0199,682,4,11,2
153,3,0,0.0007,1.7489,0.0023,36,3,4,2
154,4,6,0.001,312.687,0.0621,1048,8,25,2
155,9,9,0.001,587.6815,0.0725,1302,12,73,2
156,1,2,0.0008,6.9262,0.0067,133,3,5,2
157,3,8,0.001,80.5754,0.0719,1053,9,25,2
158,8,7,0.001,80.8674,0.0833,741,10,16,2
159,1,4,0.0008,27.1955,0.0141,398,4,9,2
160,0,3,0.001,298.2103,0.0162,601,2,5,2
161,6,12,0.001,171.3822,0.0508,978,14,42,2
162,4,3,0.001,34.7075,0.0438,992,7,14,2
163,2,10,0.001,247.6297,0.062,1218,11,42,2
164,0,1,0.0007,0.0,0.0009,15,1,2,2
165,3,5,0.001,202.9418,0.029,854,6,26,2
166,0,6,0.001,105.2525,0.0373,951,6,13,2
167,11,3,0.001,1885.6399,0.0561,873,7,55,2
168,0,2,0.0007,0.0,0.0017,53,2,4,2
169,0,5,0.001,0.0,0.0324,637,5,8,2
170,2,7,0.001,40.0301,0.0349,670,7,16,2
171,1,6,0.001,440.0,0.0473,640,6,9,2
172,2,6,0.001,30.5378,0.0523,721,7,12,2
173,3,6,0.001,232.5689,0.0213,704,6,23,2
174,1,1,0.0007,0.3333,0.0008,16,2,3,2
175,5,0,0.0008,43.3982,0.007,120,5,9,2
176,6,8,0.001,229.9712,0.0787,1088,11,34,2
177,9,6,0.0009,126.645,0.0629,767,11,35,2
178,3,5,0.001,260.1443,0.0184,653,7,10,2
179,0,6,0.001,64.0873,0.0272,945,5,10,2
180,0,1,0.0007,0.0,0.0003,8,1,2,2
181,2,1,0.001,0.0,0.0306,602,3,4,2
182,10,0,0.0008,78.3675,0.0181,324,8,20,2
183,3,9,0.0009,192.48,0.0372,628,8,26,2
184,3,9,0.001,132.3587,0.0576,1214,9,45,2
185,1,13,0.001,208.1889,0.0556,1161,10,45,2
186,0,2,0.001,65.5148,0.0157,591,2,4,2
187,3,0,0.001,16.3998,0.0169,617,3,6,2
188,1,3,0.001,0.0,0.032,621,4,8,2
189,3,0,0.001,0.54,0.0158,599,3,6,2
190,1,4,0.001,31.2439,0.0378,966,4,8,2
191,1,3,0.0008,32.8801,0.0107,144,3,5,2
192,16,2,0.001,1193.6518,0.0499,948,11,35,2
193,11,11,0.001,176.2265,0.0847,1191,16,50,2
194,5,1,0.001,74.3723,0.0229,708,4,13,2
195,8,4,0.0011,76.6709,0.0676,1405,11,81,2
196,0,5,0.001,17.5953,0.024,743,4,10,2
197,1,6,0.0009,146.1649,0.0158,444,4,10,2
198,20,16,0.0011,290.7079,0.1042,1562,18,200,2
199,6,8,0.001,80.855,0.0568,1140,10,46,2
200,2,3,0.001,51.3345,0.0519,710,5,5,2
201,11,11,0.001,527.7476,0.0567,1257,14,63,2
202,0,13,0.0011,225.6903,0.0576,1352,11,74,2
203,10,2,0.001,295.8091,0.0538,894,10,23,2
204,0,2,0.001,0.0,0.0157,595,2,4,2
205,5,12,0.001,392.2965,0.0273,789,10,36,2
206,1,2,0.001,46.9468,0.0164,610,3,8,2
207,9,7,0.0009,171.3911,0.0554,840,11,65,2
208,5,2,0.0008,121.1755,0.0096,189,6,11,2
209,2,1,0.0008,26.5912,0.0116,378,3,5,2
210,0,2,0.0008,0.0,0.011,344,2,4,2
211,6,4,0.001,163.6478,0.0365,1067,9,27,2
212,5,7,0.001,120.9864,0.0777,1152,10,26,2
213,0,1,0.0007,0.0,0.0035,66,1,2,2
214,0,2,0.001,0.0,0.0158,605,2,4,2
215,0,5,0.0009,1.7438,0.0284,451,5,8,2
216,5,2,0.0008,66.0314,0.0159,173,5,7,2
217,7,6,0.001,317.5681,0.0597,753,10,18,2
218,3,2,0.001,131.6984,0.0215,705,4,11,2
219,17,13,0.001,1070.3376,0.0705,999,12,64,2
220,0,1,0.0007,0.0,0.0048,80,1,2,2
221,8,2,0.001,208.854,0.0375,973,7,34,2
222,1,1,0.0007,0.0,0.0097,81,2,2,2
223,24,15,0.0011,1113.8769,0.1579,1533,24,147,2
224,0,2,0.0008,0.0,0.0058,111,2,4,2
225,0,1,0.0007,0.0,0.0048,80,1,2,2
226,7,8,0.0011,91.9026,0.0681,1256,11,62,2
227,1,1,0.0007,0.0,0.0097,81,2,2,2
228,0,2,0.0009,0.0,0.0153,413,2,4,2
229,0,1,0.0007,0.0,0.0007,19,1,2,2
230,0,3,0.0007,4.6995,0.0012,27,2,4,2
231,0,7,0.0008,38.9603,0.0126,188,6,10,2
232,0,3,0.001,17.4863,0.0261,934,3,6,2
233,0,1,0.0007,0.0,0.0009,38,1,2,2
234,37,0,0.001,2851.4013,0.0573,1004,10,95,2
235,1,3,0.001,70.9931,0.0411,954,4,6,2
236,0,3,0.001,0.0,0.0307,621,3,4,2
237,0,1,0.0007,0.0,0.0009,38,1,2,2
238,0,2,0.0007,0.0,0.0017,39,2,2,2
239,1,2,0.001,84.1146,0.0158,624,3,6,2
240,0,2,0.001,0.0,0.0158,620,2,4,2
241,0,3,0.001,0.0,0.0166,621,3,4,2
242,0,4,0.001,5.3493,0.0312,631,4,8,2
243,5,3,0.001,927.0811,0.0328,676,6,10,2
244,0,1,0.0007,0.0,0.0009,38,1,2,2
245,0,3,0.001,440.0,0.0158,622,2,5,2
246,1,5,0.001,5.4027,0.0487,674,6,8,2
247,2,6,0.001,467.6399,0.0461,1035,6,23,2
248,6,3,0.001,706.871,0.0521,854,8,21,2
249,5,7,0.001,323.7555,0.0874,1080,11,23,2
250,1,3,0.001,48.5477,0.0268,946,4,9,2
251,4,1,0.001,51.4277,0.0171,653,5,8,2
252,2,1,0.001,14.0936,0.019,631,3,6,2
253,2,1,0.001,37.7958,0.0309,614,3,4,2
254,1,1,0.0007,0.3056,0.0016,22,2,3,2
255,0,2,0.001,0.0,0.0152,588,2,4,2
256,3,2,0.001,35.5354,0.0173,647,4,12,2
257,3,1,0.001,34.7576,0.0178,653,4,7,2
258,1,4,0.001,8.0146,0.0422,968,4,8,2
259,0,3,0.001,39.5816,0.017,636,3,5,2
260,0,1,0.0007,0.0,0.0002,3,1,2,2
261,1,1,0.001,440.0,0.0149,584,1,3,2
262,2,2,0.0008,43.3071,0.0219,364,4,4,2
263,1,0,0.0007,0.0,0.0002,4,1,2,2
264,0,2,0.0008,5.5809,0.0108,349,2,3,2
265,3,1,0.001,110.7863,0.0161,613,4,9,2
266,1,4,0.0007,74.2827,0.0024,54,4,6,2
267,0,2,0.001,0.0,0.0183,641,2,4,2
268,7,2,0.0008,59.9868,0.0224,325,8,17,2
269,0,3,0.0008,11.6539,0.0058,105,3,4,2
270,1,1,0.0007,0.0,0.0027,28,2,2,2
271,2,2,0.001,2.3708,0.0306,601,4,5,2
272,1,1,0.0007,0.0,0.0047,41,2,2,2
273,4,0,0.0008,4.1657,0.0037,115,4,6,2
274,0,1,0.0008,0.0,0.007,118,1,2,2
275,1,4,0.0009,2.5587,0.0289,472,5,12,2
276,1,4,0.001,9.8114,0.0621,1035,5,8,2
277,1,5,0.0009,5.1173,0.0358,472,5,12,2
278,0,5,0.001,298.4195,0.0327,1047,4,11,2
279,8,4,0.001,716.8506,0.0291,859,8,23,2
280,0,3,0.001,0.0,0.0309,614,3,4,2
281,5,3,0.001,130.5552,0.0302,1015,7,21,2
282,0,1,0.0007,0.0,0.0005,9,1,2,2
283,0,1,0.0007,0.0,0.0002,3,1,2,2
284,1,1,0.001,440.0,0.0149,584,1,3,2
285,2,4,0.0008,2.9681,0.0086,152,6,9,2
286,2,0,0.0007,2.3449,0.0014,19,2,3,2
287,3,1,0.0008,92.1185,0.007,119,4,5,2
288,0,2,0.0007,8.5459,0.0016,32,2,3,2
289,0,3,0.0007,19.5988,0.0018,45,3,4,2
290,0,1,0.0007,0.0,0.0014,27,1,2,2
291,0,1,0.0007,0.0,0.0014,27,1,2,2
292,1,1,0.001,0.0,0.0162,605,2,4,2
293,2,1,0.0008,13.0353,0.0137,399,3,5,2
294,0,1,0.0007,0.0,0.0007,8,1,2,2
295,4,1,0.001,486.237,0.0174,615,3,9,2
296,0,1,0.0007,0.0,0.0003,6,1,2,2
297,0,2,0.001,0.0,0.0152,588,2,4,2
298,0,3,0.001,0.0,0.0277,955,3,8,2
299,0,2,0.001,0.0,0.0155,593,2,4,2
300,12,3,0.0011,602.5685,0.0449,1257,10,71,2
301,11,3,0.001,86.4155,0.0581,1060,8,38,2
302,1,4,0.001,0.7879,0.0471,638,5,6,2
303,5,2,0.001,228.9672,0.0362,1087,5,24,2
304,0,2,0.001,0.0,0.0154,590,2,4,2
305,1,1,0.001,0.0,0.0172,630,2,4,2
306,4,0,0.0007,39.829,0.0021,55,3,5,2
307,3,3,0.0008,50.7875,0.0319,350,4,6,2
308,8,0,0.001,87.8979,0.0291,806,8,19,2
309,0,1,0.0007,0.0,0.0022,43,1,2,2
310,29,1,0.001,2616.6729,0.0662,933,10,56,2
311,0,1,0.0007,0.0,0.001,31,1,2,2
312,0,1,0.0007,0.0,0.001,31,1,2,2
313,0,1,0.0007,0.0,0.001,31,1,2,2
314,0,2,0.001,0.0,0.0159,613,2,4,2
315,0,2,0.0007,1.3672,0.0019,45,2,4,2
316,0,1,0.0007,0.0,0.001,31,1,2,2
317,1,5,0.001,10.9665,0.0425,958,6,10,2
318,2,2,0.001,0.0,0.0424,959,4,8,2
319,2,2,0.0008,31.5933,0.012,358,4,6,2
320,0,3,0.001,37.8213,0.0265,930,3,8,2
321,1,1,0.0007,1.7393,0.0018,29,2,3,2
322,4,1,0.001,271.3732,0.0254,743,4,11,2
323,1,2,0.0008,0.0,0.0211,342,3,4,2
324,4,0,0.001,38.9227,0.0171,631,4,8,2
325,1,1,0.001,0.0,0.0156,598,2,4,2
326,0,3,0.001,0.0,0.026,931,3,8,2
327,0,1,0.0007,0.0,0.0007,16,1,2,2
328,0,1,0.0007,0.0,0.0007,9,1,2,2
329,3,6,0.001,84.0662,0.073,984,8,18,2
330,1,2,0.001,199.5382,0.015,592,3,4,2
331,2,4,0.001,0.3333,0.0609,610,6,6,2
332,0,1,0.0007,0.0,0.0002,4,1,2,2
333,0,2,0.001,7.8757,0.0155,604,2,3,2
334,2,0,0.0008,0.4935,0.0105,184,2,4,2
335,4,2,0.001,6.2401,0.0383,730,6,10,2
336,9,3,0.0011,377.5952,0.0434,1265,9,52,2
337,3,1,0.001,187.5045,0.0153,602,3,5,2
338,1,3,0.001,0.0,0.0458,615,4,4,2
339,1,1,0.001,14.235,0.0171,625,2,4,2
340,1,2,0.001,197.1708,0.0152,592,2,5,2
341,9,2,0.0009,86.0695,0.0332,620,9,34,2
342,3,1,0.001,328.691,0.0165,608,3,7,2
343,1,1,0.001,0.0,0.0151,586,2,4,2
344,1,1,0.001,97.7935,0.0149,586,2,3,2
345,2,1,0.001,32.3986,0.0182,642,3,8,2
346,1,2,0.001,0.0,0.0298,589,3,3,2
347,2,3,0.001,198.4911,0.0336,1052,4,13,2
348,0,1,0.0007,0.0,0.0033,54,1,2,2
349,0,1,0.0007,0.0,0.0033,54,1,2,2
350,5,1,0.001,35.0008,0.0199,704,6,12,2
351,5,1,0.0009,23.5529,0.0249,411,6,7,2
352,0,1,0.0007,0.0,0.0013,31,1,2,2
353,0,2,0.0007,0.804,0.0036,60,2,3,2
354,0,3,0.001,0.0,0.0258,928,3,8,2
355,1,3,0.001,74.4735,0.0452,590,4,4,2
356,3,2,0.001,4.5596,0.0326,629,4,10,2
357,0,2,0.001,51.7846,0.0154,589,2,3,2
358,1,1,0.001,0.0,0.0184,648,2,4,2
359,0,1,0.0007,0.0,0.0008,10,1,2,2
360,0,4,0.001,44.9758,0.0165,631,4,7,2
361,1,20,0.0008,337.1515,0.0231,445,10,35,2
362,0,1,0.001,0.0,0.0149,582,1,2,2
363,0,1,0.001,0.0,0.0149,582,1,2,2
364,0,1,0.001,0.0,0.0149,582,1,2,2
365,0,1,0.001,0.0,0.0149,582,1,2,2
366,0,2,0.001,0.0,0.0298,583,2,2,2
367,0,1,0.001,0.0,0.0149,582,1,2,2
368,0,1,0.001,0.0,0.0149,582,1,2,2
369,0,1,0.001,0.0,0.0149,582,1,2,2
370,0,1,0.0007,0.0,0.0005,11,1,2,2
371,0,1,0.001,0.0,0.0149,582,1,2,2
372,0,1,0.001,0.0,0.0149,582,1,2,2
373,0,1,0.001,0.0,0.0149,582,1,2,2
374,0,1,0.001,0.0,0.0149,582,1,2,2
375,0,1,0.001,0.0,0.0149,582,1,2,2
376,0,3,0.001,0.0,0.0402,916,3,4,2
377,0,2,0.001,0.0,0.0253,915,2,4,2
378,0,2,0.001,0.0,0.0253,915,2,4,2
379,0,2,0.001,0.0,0.0253,915,2,4,2
380,0,1,0.001,0.0,0.0149,582,1,2,2
381,0,1,0.001,0.0,0.0149,582,1,2,2
382,0,2,0.001,0.0,0.0253,915,2,4,2
383,0,1,0.001,0.0,0.0149,582,1,2,2
384,0,1,0.001,0.0,0.0149,582,1,2,2
385,0,1,0.001,0.0,0.0149,582,1,2,2
386,0,1,0.001,0.0,0.0149,582,1,2,2
387,0,1,0.001,0.0,0.0149,582,1,2,2
388,0,2,0.001,0.0,0.0253,915,2,4,2
389,0,1,0.001,0.0,0.0149,582,1,2,2
390,0,1,0.001,0.0,0.0149,582,1,2,2
391,0,1,0.001,0.0,0.0149,582,1,2,2
392,0,1,0.001,0.0,0.0149,582,1,2,2
393,0,1,0.001,0.0,0.0149,582,1,2,2
394,0,1,0.001,0.0,0.0149,582,1,2,2
395,0,1,0.001,0.0,0.0149,582,1,2,2
396,0,1,0.001,0.0,0.0149,582,1,2,2
397,0,3,0.001,0.0,0.0402,916,3,4,2
398,0,1,0.001,0.0,0.0149,582,1,2,2
399,0,2,0.001,0.0,0.0253,915,2,4,2
400,0,1,0.001,0.0,0.0149,582,1,2,2
401,0,1,0.001,0.0,0.0149,582,1,2,2
402,0,1,0.001,0.0,0.0149,582,1,2,2
403,0,2,0.001,0.0,0.0253,915,2,4,2
404,0,1,0.001,0.0,0.0149,582,1,2,2
405,0,1,0.001,0.0,0.0149,582,1,2,2
406,0,3,0.001,0.0,0.0402,916,3,4,2
407,0,1,0.001,0.0,0.0149,582,1,2,2
408,0,1,0.001,0.0,0.0149,582,1,2,2
409,0,2,0.001,0.0,0.0253,915,2,4,2
410,0,3,0.001,0.0,0.0357,916,3,4,2
411,0,1,0.001,0.0,0.0149,582,1,2,2
412,0,1,0.001,0.0,0.0149,582,1,2,2
413,1,1,0.001,0.0,0.0298,583,2,2,2
414,0,1,0.001,0.0,0.0149,582,1,2,2
415,0,2,0.001,0.0,0.0298,583,2,2,2
416,0,1,0.0008,0.0,0.0104,333,1,2,2
417,0,1,0.0008,0.0,0.0104,333,1,2,2
418,0,1,0.0008,0.0,0.0104,333,1,2,2
419,0,1,0.0008,0.0,0.0104,333,1,2,2
420,0,1,0.0008,0.0,0.0104,333,1,2,2
421,0,1,0.0008,0.0,0.0104,333,1,2,2
422,3,1,0.0008,4.0905,0.0081,92,4,5,2
423,0,1,0.0008,0.0,0.0104,333,1,2,2
424,0,1,0.001,0.0,0.0149,582,1,2,2
425,0,1,0.001,0.0,0.0149,582,1,2,2
426,0,1,0.001,0.0,0.0149,582,1,2,2
427,0,1,0.001,0.0,0.0149,582,1,2,2
428,0,1,0.001,0.0,0.0149,582,1,2,2
429,0,1,0.001,0.0,0.0149,582,1,2,2
430,0,1,0.001,0.0,0.0149,582,1,2,2
431,0,1,0.001,0.0,0.0149,582,1,2,2
432,5,38,0.0009,1192.2821,0.0846,1119,18,239,2
433,1,1,0.0008,0.0,0.0208,334,2,2,2
434,1,2,0.0008,8.5678,0.0132,395,3,6,2
435,0,1,0.0008,0.0,0.0104,333,1,2,2
436,0,1,0.0008,0.0,0.0104,333,1,2,2
437,1,1,0.0007,0.0,0.0039,36,2,2,2
438,1,1,0.0008,7.5254,0.0111,353,2,3,2
439,1,1,0.0007,0.0,0.0033,33,2,2,2
440,0,1,0.001,0.0,0.0149,582,1,2,2
444,475,106,0.0017,58205.5874,1.0,4342,31,2830,1
445,276,56,0.0013,16690.4261,0.6992,3574,31,2218,1
